,Collaborative,Description,Followers,Name,Tracks,URL,href,id
1190,False,Where swing meets blues.,10434,Jump Blues,25,https://open.spotify.com/playlist/37i9dQZF1DX7nt6DdNdydo,https://api.spotify.com/v1/playlists/37i9dQZF1DX7nt6DdNdydo,37i9dQZF1DX7nt6DdNdydo
1191,False,Simply Texas blues at its best.,17003,Lone Star Blues,50,https://open.spotify.com/playlist/37i9dQZF1DXeaMD6NdSui3,https://api.spotify.com/v1/playlists/37i9dQZF1DXeaMD6NdSui3,37i9dQZF1DXeaMD6NdSui3
1192,False,Come unwind to the sound of these bluesy ballads.,37917,Blue Ballads,53,https://open.spotify.com/playlist/37i9dQZF1DXdeoRwG5yUKg,https://api.spotify.com/v1/playlists/37i9dQZF1DXdeoRwG5yUKg,37i9dQZF1DXdeoRwG5yUKg
1193,False,Great blues live recordings. Cove: Mavis Staples,57176,Live & Loud,50,https://open.spotify.com/playlist/37i9dQZF1DWT1RLff7HxDm,https://api.spotify.com/v1/playlists/37i9dQZF1DWT1RLff7HxDm,37i9dQZF1DWT1RLff7HxDm
1194,False,Keep your motor running.,138102,Heartland Drive,45,https://open.spotify.com/playlist/37i9dQZF1DXdfhOsjRMISB,https://api.spotify.com/v1/playlists/37i9dQZF1DXdfhOsjRMISB,37i9dQZF1DXdfhOsjRMISB
1195,False,Add some classic soul to your meal,1361,Soul Food,20,https://open.spotify.com/playlist/37i9dQZF1DXd9dy0tcoQft,https://api.spotify.com/v1/playlists/37i9dQZF1DXd9dy0tcoQft,37i9dQZF1DXd9dy0tcoQft
1196,False,Jazz up your commute,480,Blue Ride,20,https://open.spotify.com/playlist/37i9dQZF1DWWV61udnjooo,https://api.spotify.com/v1/playlists/37i9dQZF1DWWV61udnjooo,37i9dQZF1DWWV61udnjooo
1197,False,"Beatiful, mellow jazz for romance",1607,Hours of Ours,23,https://open.spotify.com/playlist/54LbSpjd64NjKPUyYAGkNU,https://api.spotify.com/v1/playlists/54LbSpjd64NjKPUyYAGkNU,54LbSpjd64NjKPUyYAGkNU
1198,False,Ease into relaxation with these instrumentals.,31581,Muted Jazz,26,https://open.spotify.com/playlist/37i9dQZF1DX0ZgPbUQ205W,https://api.spotify.com/v1/playlists/37i9dQZF1DX0ZgPbUQ205W,37i9dQZF1DX0ZgPbUQ205W
1199,False,"Soulful voices, lush progressions and funky beats.",23250,Smooth Ride,100,https://open.spotify.com/playlist/37i9dQZF1DWTEbYi1zYy0Z,https://api.spotify.com/v1/playlists/37i9dQZF1DWTEbYi1zYy0Z,37i9dQZF1DWTEbYi1zYy0Z
1200,False,Wind down and slip into a mellow mood with these jazz instrumentals.,2130,'Round Midnight,22,https://open.spotify.com/playlist/37i9dQZF1DWVs0HkSq6JzH,https://api.spotify.com/v1/playlists/37i9dQZF1DWVs0HkSq6JzH,37i9dQZF1DWVs0HkSq6JzH
1201,False,Nothing but country drinking songs,1666,"Beer, Bars & Beyond",25,https://open.spotify.com/playlist/37i9dQZF1DXdZp8JqM48aW,https://api.spotify.com/v1/playlists/37i9dQZF1DXdZp8JqM48aW,37i9dQZF1DXdZp8JqM48aW
